segment,shot_id,shot_type,device,action,on_screen_proof,speaker,acceptance_gate
integrated,INT-01,wide,all,"Show all four devices on desk","Full family visible",Tommy,"All products visible"
integrated,INT-02,screen,all,"Show local topology","No cloud dependency implied",Tommy,"Local-first flow clear"
thoxkey,TK-01,macro,ThoxKey,"Show USB device on desk","Product lower third",Tommy,"ThoxKey visible"
thoxkey,TK-02,close-up,ThoxKey,"Insert into laptop","Launcher opens",Tommy,"No credentials visible"
thoxkey,TK-03,screen,ThoxKey,"Workspace unlocks","Local profile active",Tommy,"Not standalone LLM claim"
thoxmini-air,TMA-01,product,ThoxMini Air,"Place near laptop","Appears in topology",Tommy,"Wireless companion framing"
thoxmini-air,TMA-02,graphic,ThoxMini Air,"Show local rings","Nearby devices connected",Tommy,"No cloud dependency"
thoxmini,TM-01,product,ThoxMini,"Show device beside monitor","Device lower third",Tommy,"Compact compute framing"
thoxmini,TM-02,screen,ThoxMini,"Start local service","Service card running",Tommy,"No fake benchmarks"
thoxclip,TC-01,lifestyle,ThoxClip,"Show clip on lapel or notebook","Product lower third",Craig,"Premium capture framing"
thoxclip,TC-02,close-up,ThoxClip,"Tap or press capture","Capture indicator",Craig,"No medical/safety claim"
thoxclip,TC-03,screen,ThoxClip,"Show note in workspace","New capture received",Tommy,"Local routing proof"
pricing,PR-01,graphic,all,"Reveal campaign pricing","Prices match rewards matrix",Craig,"All prices correct"
closing,CL-01,founder,all,"Craig and Tommy close","Back THOX.ai CTA",Craig,"Clear Kickstarter ask"
