segment,shot_id,shot_type,device,action,on_screen_proof,speaker,acceptance_gate
ceo-open,V01-S1,wide,All,"Dark studio. Craig stands beside the plinth with all four devices. Mesh loop breathes on the wall. Large THOX logo panel camera left.","Full family visible",None,"All four public products in frame"
ceo-open,V01-S2,mcu,Talent,"Craig to camera.","Locked script line",Craig,"Line delivered verbatim"
ceo-open,V01-S3,macro,All,"Pan left to right across the lineup, ThoxKey to ThoxClip, focus pulling device to device.","Each device held in focus",Craig,"No retired hardware in frame"
ceo-open,V01-S4,cu,Talent,"Craig to camera.","Locked script line",Craig,"No prohibited claims added"
ceo-open,V01-S5,orbit,All,"Orbit the plinth. Xolonium name cards fade in per device as camera passes: ThoxKey, ThoxMini Air, ThoxMini, ThoxClip.","Correct product names on cards",Craig,"Naming matches approved list"
ceo-open,V01-S6,graphic,None,"Cut to black. THOX.ai logo resolve with emerald sweep. Tagline lockup beneath.","Logo and tagline lockup",None,"Brand fonts and emerald only"
ecosystem,V02-S1,render,ThoxKey,"ThoxKey rotates on black. Xolonium name card: ThoxKey.","Latest ID render",None,"Supersedes older renders"
ecosystem,V02-S2,render,ThoxMini Air,"ThoxMini Air rotates. Name card: ThoxMini Air.","Latest ID render",None,"Correct name spelling"
ecosystem,V02-S3,render,ThoxMini,"ThoxMini rotates. Name card: ThoxMini. Device face branding reads ThoxMini.","Device branding reads ThoxMini",None,"Matches latest USB-C stick ID"
ecosystem,V02-S4,render,ThoxClip,"ThoxClip rotates. Name card: ThoxClip.","Latest ID render",None,"Correct name spelling"
ecosystem,V02-S5,graphic,All,"All four devices arrange into a lineup. Emerald mesh lines draw between them.","Mesh lines connect all four",VO,"Emerald palette only"
ecosystem,V02-S6,screen,ThoxOS Mini,"ThoxOS Mini interface wall: Dashboard, Models, Projects glide past.","ThoxOS Mini lockup visible",VO,"Dark theme UI only"
ecosystem,V02-S7,graphic,All,"Full lineup plus tagline lockup.","Tagline lockup",VO,"Tagline verbatim"
cto-intro,V03-S1,follow,Mixed,"Tommy walks into the workspace and lands at the desk. Every machine is awake.","Multi-OS desk plus all THOX devices",None,"No third-party branding readable"
cto-intro,V03-S2,mcu,Talent,"Tommy introduces himself.","Locked script line",Tommy,"Line delivered verbatim"
cto-intro,V03-S3,overhead,Mixed,"Top-down of the desk. Inter callout labels tag each machine and each THOX device.","Callout labels correct",Tommy,"Foreshadows MeshStack without claims"
cto-intro,V03-S4,insert,ThoxKey,"Tommy picks up ThoxKey off the desk. Match cut into V04 S1 macro.","ThoxKey in hand",Tommy,"Continuity with V04"
thoxkey,V04-S1,macro,ThoxKey,"Keys drop onto the table. ThoxKey sits among them. Retractable USB deploys in slow motion.","Retractable USB mechanism",None,"Matches latest ID"
thoxkey,V04-S2,macro,ThoxKey,"Insert into the MacBook port. Camera rides the move.","Clean insertion",None,"No credentials visible on host"
thoxkey,V04-S3,screen,ThoxKey,"The ThoxKey local AI workspace launches from the host. Local model loads with a progress ring. Caption: Data stays on your devices.","Local profile active, no cloud UI",None,"Approved claim wording only"
thoxkey,V04-S4,mcu,ThoxKey,"Tommy holds ThoxKey to camera.","Locked script line",Tommy,"Line delivered verbatim"
thoxkey,V04-S5,screen,ThoxKey,"Documents app: open a proposal PDF. Prompt: Summarize this. Response streams.","Summary streams locally",Tommy,"Demo data only"
thoxkey,V04-S6,screen,ThoxKey,"Conversations: request a code snippet. Result renders in JetBrains Mono, copied into an editor.","Code generation on device",Tommy,"No model name claims"
thoxkey,V04-S7,screen,ThoxKey,"Inline translate: English paragraph to Japanese.","Translation completes",Tommy,"Demo data only"
thoxkey,V04-S8,screen,ThoxKey,"Documents: generate a slide outline. Slide previews populate.","Deck outline generated",Tommy,"No cloud dependency implied"
thoxkey,V04-S9,macro,ThoxKey,"Unplug. USB retracts. ThoxKey slides into a jeans pocket.","Retract mechanism",None,"Matches latest ID"
thoxkey,V04-S10,lifestyle,ThoxKey,"Pocket walk, backpack zip, cafe table beside a laptop, office lanyard.","Portability story",None,"No city or state identifiable"
thoxkey,V04-S11,product,ThoxKey,"Three colorways on black acrylic: Matte Black, Space Gray, Arctic White. Name card plus theme line: Personal AI, Pocket Sized.","Three production colors",None,"Approved colorway names"
thoxkey,V04-S12,render,ThoxKey,"Hero rotate. ThoxKey lockup.","Product lockup",None,"Brand fonts only"
thoxmini-air,V05-S1,product,ThoxMini Air,"ThoxMini Air glides into frame on black.","Latest ID render match",None,"Correct name on card"
thoxmini-air,V05-S2,screen,MeshStack,"Laptop: THOX.ai MeshStack app, Pair scene. LAN discovery finds ThoxMini Air. Pairing code confirm. Connected toast. Caption: Works offline on LAN after pairing.","Nearby device pairs over LAN",None,"Approved claim wording only"
thoxmini-air,V05-S3,mcu,ThoxMini Air,"Tommy beside the setup.","Locked script line",Tommy,"Line delivered verbatim"
thoxmini-air,V05-S4,screen,ThoxOS Mini,"Projects: the exact project from V04 opens. Caption: Pick up where you left off.","Continuity with ThoxKey project",Tommy,"Same project name as V04"
thoxmini-air,V05-S5,screen,ThoxOS Mini,"Image generation prompt. Grid renders progressively.","Image generation local",Tommy,"No benchmark numbers"
thoxmini-air,V05-S6,screen,ThoxOS Mini,"Spreadsheet dropped into Files. Analysis summary plus chart.","Analysis output",Tommy,"Demo data only"
thoxmini-air,V05-S7,screen,ThoxOS Mini,"Coding session: agent applies an edit, tests pass tick.","Agent edit plus green tests",Tommy,"No external service visible"
thoxmini-air,V05-S8,screen,ThoxOS Mini,"Documents: polish the presentation from V04.","Deck continuity",Tommy,"Continuity with V04 S8"
thoxmini-air,V05-S9,lifestyle,ThoxMini Air,"Airport gate, hotel desk, cafe window. ThoxMini Air beside the laptop each time.","Work-in-motion story",None,"No identifiable signage"
thoxmini-air,V05-S10,screen,MeshStack,"A second node pulse appears at the edge of the ThoxOS Mini screen.","Mesh tease only",Tommy,"No fabric claims yet"
thoxmini-air,V05-S11,render,ThoxMini Air,"Hero rotate. ThoxMini Air lockup plus theme line: Work in Motion.","Product lockup",None,"Brand fonts only"
thoxmini,V06-S1,wide,ThoxMini,"Beautiful desktop setup. The ThoxMini stick glows on its stand beside the monitor, USB-C connected. Face branding reads ThoxMini.","Device branding reads ThoxMini",None,"Latest USB-C stick ID confirmed"
thoxmini,V06-S2,macro,ThoxMini,"Chassis line, status LED pulse, USB-C connection macro. The preflashed ThoxOS Mini microSD seats with a click.","USB-C stick plus microSD detail",None,"No part-level disclosure"
thoxmini,V06-S3,mcu,ThoxMini,"Tommy turns from the screen.","Locked script line",Tommy,"Line delivered verbatim"
thoxmini,V06-S4,screen,ThoxOS Mini,"The desk machine opens the ThoxMini workspace over the local network. App Launcher grid overview.","App Launcher visible",Tommy,"Dark theme UI"
thoxmini,V06-S5,screen,ThoxOS Mini,"Models: browse installed models, switch model for the task.","Model switcher",Tommy,"No performance numbers"
thoxmini,V06-S6,screen,ThoxOS Mini,"Terminal: large repo open, agent run scrolls in JetBrains Mono.","Terminal agent run",Tommy,"Demo repo only"
thoxmini,V06-S7,screen,ThoxOS Mini,"Image generation batch fills a grid.","Batch render",Tommy,"No benchmark numbers"
thoxmini,V06-S8,screen,ThoxOS Mini,"Documents: long research doc with references pane.","Long-form navigation",Tommy,"Demo content only"
thoxmini,V06-S9,screen,ThoxOS Mini,"Automation: create a rule, summarize a folder nightly. Sandbox: run a script in an isolated pane.","Automation rule plus sandbox run",Tommy,"Isolation framing accurate"
